sr_freq,resolution,total_time,fps,total_time_only_upscale,fps_only_upscale,psnr,ssim,vmaf
10,540p,22.554062366485596,2.926302097048081,16.718257665634155,3.947779805767008,37.197,0.972,71.975
11,540p,15.070553302764893,4.379401251836681,9.45943284034729,6.977162491020645,37.448,0.972,71.354
12,540p,14.968696117401123,4.409201675440183,9.437359094619751,6.993481898725955,37.397,0.972,71.422
13,540p,14.847604274749756,4.445161574803109,9.501190423965454,6.946497970772591,37.56,0.972,71.14
14,540p,14.041438102722168,4.700373246470018,8.157669067382812,8.090546387066725,37.639,0.972,70.855
15,540p,13.759631633758545,4.796640037809763,8.08053994178772,8.167771024642484,37.657,0.973,71.058
16,540p,13.440274000167847,4.910614173429483,7.93657660484314,8.315928048842217,37.666,0.973,71.624
17,540p,12.916790962219238,5.109628250007734,6.644219636917114,9.933446455214368,37.842,0.973,70.615
18,540p,12.541680335998535,5.262452736142493,6.646827697753906,9.9295488014986,37.85,0.973,70.62
19,540p,12.68339228630066,5.203655182319531,6.551387548446655,10.074201764426027,37.874,0.973,70.643
20,540p,12.585036039352417,5.244323480173056,6.6141135692596436,9.978661434957454,37.879,0.973,70.716
21,540p,12.39053463935852,5.3266466638454055,6.480348825454712,10.184636935091056,37.903,0.973,70.748
22,540p,10.550896167755127,6.255392807456901,4.984989404678345,13.23974729776956,38.177,0.974,70.892
23,540p,10.76271915435791,6.132279310965396,5.179819583892822,12.741756528592953,38.195,0.974,71.243
24,540p,10.39188003540039,6.351112577817308,5.0578625202178955,13.048990504620653,38.121,0.974,70.843
10,360p,12.538380146026611,5.263837850770163,5.938747882843018,11.113453761974528,33.914,0.87,37.858
11,360p,11.764837503433228,5.609937237190043,5.089892387390137,12.9668753240266,34.332,0.884,39.262
12,360p,12.087409257888794,5.460227133198571,5.167269229888916,12.772703930005761,34.267,0.884,38.59
13,360p,12.657688617706299,5.214222121697276,5.475712060928345,12.053226916539225,34.392,0.885,39.086
14,360p,11.314480781555176,5.833232763768794,4.546910762786865,14.515349749144335,34.623,0.897,39.434
15,360p,11.504679203033447,5.736796205721037,4.4138360023498535,14.952979667768057,34.618,0.897,39.521
16,360p,11.104130029678345,5.943734432467902,4.597609758377075,14.355285347945134,34.46,0.891,39.204
17,360p,9.633199214935303,6.851306458779931,3.444004535675049,19.1637378279653,34.927,0.91,39.961
18,360p,9.778207302093506,6.749703494818468,3.603376865386963,18.316152449658446,34.928,0.91,39.855
19,360p,10.293740272521973,6.411663618148582,3.7456462383270264,17.62045740589708,34.931,0.91,40.043
20,360p,10.156649589538574,6.498205871745393,3.8648905754089355,17.076809475522264,34.934,0.91,39.979
21,360p,9.887204647064209,6.675294216712432,3.7520527839660645,17.59037087165801,34.962,0.91,40.291
22,360p,8.88453221321106,7.428640970186341,2.940389633178711,22.4460048611485,35.335,0.924,41.107
23,360p,8.995918035507202,7.3366608876932515,2.84678053855896,23.184084303670698,35.304,0.924,40.975
24,360p,8.57626748085022,7.695655499011675,2.707003593444824,24.38120147303205,35.282,0.924,40.662
10,216p,8.2105872631073,8.038401868835662,2.8915655612945557,22.825005555278423,31.656,0.937,2.006
11,216p,7.996370077133179,8.253745057240023,2.609942674636841,25.287911738974703,31.86,0.937,2.096
12,216p,7.986530303955078,8.26391405130155,2.605534315109253,25.33069690054439,31.816,0.937,2.022
13,216p,8.899259328842163,7.416347536485031,2.9918203353881836,22.06014820453335,31.91,0.937,2.022
14,216p,8.174780130386353,8.073611638149433,2.321485996246338,28.430065960646267,32.058,0.938,2.004
15,216p,8.107437372207642,8.140673429837214,2.2424981594085693,29.4314622837446,32.066,0.938,2.1
16,216p,7.664981126785278,8.610588716176089,2.1745529174804688,30.351066405167302,31.901,0.937,2.045
17,216p,7.63557505607605,8.643749752349057,1.8697032928466797,35.299718544921106,32.123,0.938,2.04
18,216p,9.252694845199585,7.13305702870355,2.436190366744995,27.09147893404689,32.125,0.938,1.943
19,216p,7.261088132858276,9.089546744562039,1.8845131397247314,35.022308207222444,32.132,0.938,2.093
20,216p,7.986810922622681,8.263623696543846,1.9970028400421143,33.04952736001524,32.138,0.938,2.126
21,216p,7.301714181900024,9.038973363762334,1.7859838008880615,36.95442252453925,32.165,0.938,2.128
22,216p,7.053040266036987,9.357666695568797,1.5007035732269287,43.97937152777061,32.327,0.939,2.168
23,216p,7.2766523361206055,9.070104898702157,1.5311245918273926,43.10557112875393,32.307,0.939,2.168
24,216p,7.4096033573150635,8.907359384472597,1.6479530334472656,40.049685070173446,32.293,0.939,2.168
